CH1;CH2;PPG
146.25626;127.74472;586.4302
146.2482;127.728455;586.42816
146.24088;127.71456;586.4266
146.24744;127.714966;586.42377
146.24043;127.70934;586.42285
146.23506;127.71175;586.42303
146.23405;127.712006;586.42316
146.24365;127.71716;586.4227
146.2493;127.71491;586.42505
146.23969;127.70485;586.4259
146.24142;127.703026;586.4276
146.24158;127.698494;586.4311
146.24408;127.705666;586.4362
146.25284;127.71856;586.43976
146.2609;127.73058;586.4438
146.263;127.73624;586.44714
146.26625;127.73509;586.4531
146.26846;127.728386;586.45825
146.26956;127.729576;586.4639
146.27214;127.726906;586.46924
146.27994;127.73035;586.4755
146.28346;127.73444;586.4828
146.29;127.74429;586.4901
146.29393;127.75078;586.4971
146.2955;127.75776;586.5051
146.29478;127.753944;586.51215
146.28229;127.73516;586.51794
146.27295;127.72815;586.52747
146.26614;127.72188;586.5355
146.26436;127.72035;586.54315
146.27046;127.72653;586.55176
146.27083;127.73006;586.56
146.26855;127.72774;586.5693
146.26193;127.725716;586.57733
146.2601;127.72276;586.58344
146.26566;127.72505;586.5904
146.27286;127.726456;586.5974
146.27567;127.7229;586.6029
146.27803;127.724724;586.6115
146.27716;127.72779;586.61816
146.2797;127.73692;586.62555
146.28987;127.74436;586.6347
146.29404;127.74405;586.63763
146.2871;127.7391;586.6429
146.28712;127.74169;586.6483
146.29219;127.74417;586.65393
146.2949;127.74572;586.65936
146.29356;127.741264;586.66406
146.29128;127.74034;586.6675
146.29066;127.73451;586.67053
146.29147;127.73499;586.67584
146.29541;127.733154;586.68005
146.30003;127.73859;586.6812
146.30577;127.74119;586.6836
146.30313;127.73947;586.6866
146.30756;127.74453;586.6881
146.31004;127.75111;586.69183
146.3037;127.748344;586.6948
146.30798;127.747765;586.6946
146.30699;127.74586;586.69495
146.3063;127.741615;586.69824
146.30275;127.737854;586.6978
146.30904;127.74074;586.69965
146.30974;127.74407;586.7012
146.30368;127.74312;586.7031
146.3039;127.74222;586.70166
146.31078;127.74789;586.69653
146.313;127.74985;586.6954
146.31133;127.74906;586.69543
146.31308;127.74906;586.6978
146.31555;127.75194;586.69476
146.3181;127.75519;586.6931
146.31978;127.75602;586.6866
146.3225;127.75397;586.6836
146.32512;127.7509;586.681
146.32883;127.75051;586.6793
146.32721;127.74782;586.6781
146.32925;127.7517;586.67474
146.33243;127.75104;586.6732
